Trace,Exp,Core_0_IPC,Core_0_LLC_total_miss,Core_0_LLC_load_miss,Core_0_LLC_RFO_miss,Core_0_LLC_writeback_miss,Filter
602.gcc_s-1850B,nopref,0.23959,89028,88949,6,73,1
602.gcc_s-1850B,spp,0.35569,90142,3577,5,10,1
602.gcc_s-1850B,bingo,0.37377,92889,4351,6,21,1
602.gcc_s-1850B,mlop,0.37925,92987,2789,0,8,1
602.gcc_s-1850B,pythia,0.37613,90201,2459,0,94,1
602.gcc_s-1850B,nopref_MTPS150,0.20583,89028,88949,6,73,1
602.gcc_s-1850B,spp_MTPS150,0.2431,90114,13784,5,1,1
602.gcc_s-1850B,bingo_MTPS150,0.2348,92817,4669,6,23,1
602.gcc_s-1850B,mlop_MTPS150,0.23923,93103,2842,0,69,1
602.gcc_s-1850B,pythia_MTPS150,0.24928,90194,2455,0,94,1
602.gcc_s-1850B,nopref_MTPS300,0.2391,89028,88949,6,73,1
602.gcc_s-1850B,spp_MTPS300,0.33469,90135,6497,5,2,1
602.gcc_s-1850B,bingo_MTPS300,0.33621,92853,4496,6,24,1
602.gcc_s-1850B,mlop_MTPS300,0.34713,93055,2803,0,35,1
602.gcc_s-1850B,pythia_MTPS300,0.34916,90198,2457,0,94,1
602.gcc_s-1850B,nopref_MTPS600,0.23941,89028,88949,6,73,1
602.gcc_s-1850B,spp_MTPS600,0.35319,90148,3627,5,9,1
602.gcc_s-1850B,bingo_MTPS600,0.36548,92858,4391,6,22,1
602.gcc_s-1850B,mlop_MTPS600,0.37223,92981,2797,0,13,1
602.gcc_s-1850B,pythia_MTPS600,0.37115,90210,2455,0,93,1
602.gcc_s-1850B,nopref_MTPS1200,0.23953,89028,88949,6,73,1
602.gcc_s-1850B,spp_MTPS1200,0.3555,90142,3577,5,10,1
602.gcc_s-1850B,bingo_MTPS1200,0.37298,92871,4358,6,21,1
602.gcc_s-1850B,mlop_MTPS1200,0.37835,92988,2789,0,9,1
602.gcc_s-1850B,pythia_MTPS1200,0.37611,90191,2454,0,95,1
602.gcc_s-1850B,nopref_MTPS4800,0.23961,89028,88949,6,73,1
602.gcc_s-1850B,spp_MTPS4800,0.35573,90142,3577,5,10,1
602.gcc_s-1850B,bingo_MTPS4800,0.37392,92909,4350,6,21,1
602.gcc_s-1850B,mlop_MTPS4800,0.37942,92985,2789,0,7,1
602.gcc_s-1850B,pythia_MTPS4800,0.37616,90197,2459,0,94,1
602.gcc_s-1850B,nopref_MTPS9600,0.23961,89028,88949,6,73,1
602.gcc_s-1850B,spp_MTPS9600,0.35573,90142,3576,5,10,1
602.gcc_s-1850B,bingo_MTPS9600,0.37393,92911,4350,6,21,1
602.gcc_s-1850B,mlop_MTPS9600,0.37944,92984,2789,0,7,1
602.gcc_s-1850B,pythia_MTPS9600,0.37616,90197,2459,0,94,1
602.gcc_s-734B,nopref,0.36323,40219,40219,0,0,1
602.gcc_s-734B,spp,0.43023,41736,2018,0,7,1
602.gcc_s-734B,bingo,0.43225,42713,2546,0,10,1
602.gcc_s-734B,mlop,0.43701,46358,1141,0,1,1
602.gcc_s-734B,pythia,0.43602,41523,1409,0,0,1
602.gcc_s-734B,nopref_MTPS150,0.36112,40219,40219,0,0,1
602.gcc_s-734B,spp_MTPS150,0.41615,41722,2136,0,7,1
602.gcc_s-734B,bingo_MTPS150,0.39793,42609,2569,0,12,1
602.gcc_s-734B,mlop_MTPS150,0.39299,46163,1147,0,1,1
602.gcc_s-734B,pythia_MTPS150,0.42939,41523,1405,0,2,1
602.gcc_s-734B,nopref_MTPS300,0.36286,40219,40219,0,0,1
602.gcc_s-734B,spp_MTPS300,0.4275,41739,2029,0,7,1
602.gcc_s-734B,bingo_MTPS300,0.42263,42679,2558,0,10,1
602.gcc_s-734B,mlop_MTPS300,0.41997,46223,1147,0,1,1
602.gcc_s-734B,pythia_MTPS300,0.43487,41523,1406,0,0,1
602.gcc_s-734B,nopref_MTPS600,0.36315,40219,40219,0,0,1
602.gcc_s-734B,spp_MTPS600,0.42964,41740,2023,0,7,1
602.gcc_s-734B,bingo_MTPS600,0.42991,42697,2547,0,10,1
602.gcc_s-734B,mlop_MTPS600,0.43086,46285,1143,0,1,1
602.gcc_s-734B,pythia_MTPS600,0.43582,41524,1407,0,0,1
602.gcc_s-734B,nopref_MTPS1200,0.36322,40219,40219,0,0,1
602.gcc_s-734B,spp_MTPS1200,0.43014,41738,2018,0,7,1
602.gcc_s-734B,bingo_MTPS1200,0.43189,42702,2547,0,10,1
602.gcc_s-734B,mlop_MTPS1200,0.43544,46334,1141,0,1,1
602.gcc_s-734B,pythia_MTPS1200,0.43597,41523,1409,0,0,1
602.gcc_s-734B,nopref_MTPS4800,0.36324,40219,40219,0,0,1
602.gcc_s-734B,spp_MTPS4800,0.43025,41736,2018,0,7,1
602.gcc_s-734B,bingo_MTPS4800,0.43232,42722,2546,0,10,1
602.gcc_s-734B,mlop_MTPS4800,0.43732,46397,1141,0,1,1
602.gcc_s-734B,pythia_MTPS4800,0.43604,41523,1409,0,0,1
602.gcc_s-734B,nopref_MTPS9600,0.36324,40219,40219,0,0,1
602.gcc_s-734B,spp_MTPS9600,0.43026,41736,2018,0,7,1
602.gcc_s-734B,bingo_MTPS9600,0.43233,42722,2546,0,10,1
602.gcc_s-734B,mlop_MTPS9600,0.43736,46400,1140,0,1,1
602.gcc_s-734B,pythia_MTPS9600,0.43604,41523,1409,0,0,1
603.bwaves_s-2931B,nopref,0.75472,88223,38416,29770,20037,1
603.bwaves_s-2931B,spp,1.32152,88147,1030,29770,20095,1
603.bwaves_s-2931B,bingo,1.30935,92464,1925,29770,20239,1
603.bwaves_s-2931B,mlop,1.34893,89335,1091,29766,20175,1
603.bwaves_s-2931B,pythia,1.4099,88365,670,29770,20133,1
603.bwaves_s-2931B,nopref_MTPS150,0.27435,88260,38416,29767,20077,1
603.bwaves_s-2931B,spp_MTPS150,0.24978,88080,1312,29755,20040,1
603.bwaves_s-2931B,bingo_MTPS150,0.26195,91642,3061,29763,20124,1
603.bwaves_s-2931B,mlop_MTPS150,0.2512,89448,1424,29762,20125,1
603.bwaves_s-2931B,pythia_MTPS150,0.27591,88232,826,29756,20028,1
603.bwaves_s-2931B,nopref_MTPS300,0.49159,88221,38416,29770,20035,1
603.bwaves_s-2931B,spp_MTPS300,0.48745,88100,1181,29763,20046,1
603.bwaves_s-2931B,bingo_MTPS300,0.51094,91849,2905,29767,20129,1
603.bwaves_s-2931B,mlop_MTPS300,0.49161,89392,1293,29763,20130,1
603.bwaves_s-2931B,pythia_MTPS300,0.54193,88256,723,29764,20043,1
603.bwaves_s-2931B,nopref_MTPS600,0.70654,88222,38416,29770,20036,1
603.bwaves_s-2931B,spp_MTPS600,0.89186,88110,1128,29765,20056,1
603.bwaves_s-2931B,bingo_MTPS600,0.90229,92256,2378,29763,20198,1
603.bwaves_s-2931B,mlop_MTPS600,0.8993,89313,1179,29763,20146,1
603.bwaves_s-2931B,pythia_MTPS600,1.00443,88277,686,29766,20058,1
603.bwaves_s-2931B,nopref_MTPS1200,0.75047,88222,38416,29770,20036,1
603.bwaves_s-2931B,spp_MTPS1200,1.25463,88127,1089,29765,20064,1
603.bwaves_s-2931B,bingo_MTPS1200,1.22376,92396,2061,29770,20205,1
603.bwaves_s-2931B,mlop_MTPS1200,1.2638,89201,1070,29763,20173,1
603.bwaves_s-2931B,pythia_MTPS1200,1.38432,88329,673,29770,20099,1
603.bwaves_s-2931B,nopref_MTPS4800,0.756,88223,38416,29770,20037,1
603.bwaves_s-2931B,spp_MTPS4800,1.32433,88156,1011,29770,20106,1
603.bwaves_s-2931B,bingo_MTPS4800,1.33321,92537,1873,29770,20251,1
603.bwaves_s-2931B,mlop_MTPS4800,1.35942,89363,1092,29767,20197,1
603.bwaves_s-2931B,pythia_MTPS4800,1.41014,88351,669,29770,20121,1
603.bwaves_s-2931B,nopref_MTPS9600,0.75624,88223,38416,29770,20037,1
603.bwaves_s-2931B,spp_MTPS9600,1.32762,88156,1007,29770,20107,1
603.bwaves_s-2931B,bingo_MTPS9600,1.33281,92519,1881,29770,20250,1
603.bwaves_s-2931B,mlop_MTPS9600,1.36047,89342,1082,29767,20197,1
603.bwaves_s-2931B,pythia_MTPS9600,1.4103,88355,669,29770,20124,1
605.mcf_s-994B,nopref,0.31325,50335,49551,23,761,1
605.mcf_s-994B,spp,0.32046,60300,42964,50,4,1
605.mcf_s-994B,bingo,0.26075,519212,57112,156,3022,1
605.mcf_s-994B,mlop,0.31225,74149,45005,63,393,1
605.mcf_s-994B,pythia,0.31236,82987,39771,24,1330,1
605.mcf_s-994B,nopref_MTPS150,0.23482,50339,49548,24,767,1
605.mcf_s-994B,spp_MTPS150,0.22015,63086,46839,43,4,1
605.mcf_s-994B,bingo_MTPS150,0.04508,503393,57125,125,2972,1
605.mcf_s-994B,mlop_MTPS150,0.19114,76188,49111,57,385,1
605.mcf_s-994B,pythia_MTPS150,0.20014,79767,39622,22,1335,1
605.mcf_s-994B,nopref_MTPS300,0.28777,50329,49538,24,767,1
605.mcf_s-994B,spp_MTPS300,0.28221,62413,46333,43,3,1
605.mcf_s-994B,bingo_MTPS300,0.08439,508901,57093,143,3022,1
605.mcf_s-994B,mlop_MTPS300,0.26147,75937,48689,56,385,1
605.mcf_s-994B,pythia_MTPS300,0.26974,77203,39606,22,1264,1
605.mcf_s-994B,nopref_MTPS600,0.30756,50336,49553,23,760,1
605.mcf_s-994B,spp_MTPS600,0.31053,61665,44916,46,3,1
605.mcf_s-994B,bingo_MTPS600,0.14571,513687,57158,149,3012,1
605.mcf_s-994B,mlop_MTPS600,0.29873,75391,47675,58,386,1
605.mcf_s-994B,pythia_MTPS600,0.30097,78868,39604,23,1315,1
605.mcf_s-994B,nopref_MTPS1200,0.31222,50332,49548,23,761,1
605.mcf_s-994B,spp_MTPS1200,0.31895,60680,43231,47,3,1
605.mcf_s-994B,bingo_MTPS1200,0.21891,517908,57199,163,2964,1
605.mcf_s-994B,mlop_MTPS1200,0.3102,74424,45544,62,393,1
605.mcf_s-994B,pythia_MTPS1200,0.31091,79357,39665,24,1303,1
605.mcf_s-994B,nopref_MTPS4800,0.31365,50335,49551,23,761,1
605.mcf_s-994B,spp_MTPS4800,0.321,60212,42856,50,4,1
605.mcf_s-994B,bingo_MTPS4800,0.27144,519713,57175,152,2996,1
605.mcf_s-994B,mlop_MTPS4800,0.31286,74057,44845,62,394,1
605.mcf_s-994B,pythia_MTPS4800,0.31005,99266,40669,29,1620,1
605.mcf_s-994B,nopref_MTPS9600,0.31376,50335,49551,23,761,1
605.mcf_s-994B,spp_MTPS9600,0.32111,60189,42826,51,4,1
605.mcf_s-994B,bingo_MTPS9600,0.27236,519658,57160,168,3004,1
605.mcf_s-994B,mlop_MTPS9600,0.313,74020,44825,62,394,1
605.mcf_s-994B,pythia_MTPS9600,0.31006,98770,40749,31,1553,1
607.cactuBSSN_s-2421B,nopref,1.00649,13048,10123,2925,0,1
607.cactuBSSN_s-2421B,spp,1.09851,13035,1438,2925,0,1
607.cactuBSSN_s-2421B,bingo,1.02747,13061,8646,2925,0,1
607.cactuBSSN_s-2421B,mlop,1.13587,13078,214,2925,0,1
607.cactuBSSN_s-2421B,pythia,1.13038,12364,329,2925,0,1
607.cactuBSSN_s-2421B,nopref_MTPS150,0.78414,13048,10123,2925,0,1
607.cactuBSSN_s-2421B,spp_MTPS150,0.8979,13051,1653,2925,0,1
607.cactuBSSN_s-2421B,bingo_MTPS150,0.80385,13068,8640,2925,0,1
607.cactuBSSN_s-2421B,mlop_MTPS150,0.96594,13077,216,2925,0,1
607.cactuBSSN_s-2421B,pythia_MTPS150,1.02583,12648,317,2925,0,1
607.cactuBSSN_s-2421B,nopref_MTPS300,0.9212,13048,10123,2925,0,1
607.cactuBSSN_s-2421B,spp_MTPS300,1.02681,13063,1553,2925,0,1
607.cactuBSSN_s-2421B,bingo_MTPS300,0.93902,13063,8635,2925,0,1
607.cactuBSSN_s-2421B,mlop_MTPS300,1.08882,13078,214,2925,0,1
607.cactuBSSN_s-2421B,pythia_MTPS300,1.10294,12685,330,2925,0,1
607.cactuBSSN_s-2421B,nopref_MTPS600,0.98612,13048,10123,2925,0,1
607.cactuBSSN_s-2421B,spp_MTPS600,1.08303,13071,1530,2925,0,1
607.cactuBSSN_s-2421B,bingo_MTPS600,1.00571,13060,8642,2925,0,1
607.cactuBSSN_s-2421B,mlop_MTPS600,1.13036,13078,214,2925,0,1
607.cactuBSSN_s-2421B,pythia_MTPS600,1.12779,12614,331,2925,0,1
607.cactuBSSN_s-2421B,nopref_MTPS1200,1.00199,13048,10123,2925,0,1
607.cactuBSSN_s-2421B,spp_MTPS1200,1.09468,13045,1548,2925,0,1
607.cactuBSSN_s-2421B,bingo_MTPS1200,1.02268,13061,8645,2925,0,1
607.cactuBSSN_s-2421B,mlop_MTPS1200,1.13503,13078,214,2925,0,1
607.cactuBSSN_s-2421B,pythia_MTPS1200,1.13009,12531,338,2925,0,1
607.cactuBSSN_s-2421B,nopref_MTPS4800,1.00728,13048,10123,2925,0,1
607.cactuBSSN_s-2421B,spp_MTPS4800,1.09856,13055,1466,2925,0,1
607.cactuBSSN_s-2421B,bingo_MTPS4800,1.02851,13061,8649,2925,0,1
607.cactuBSSN_s-2421B,mlop_MTPS4800,1.13597,13078,214,2925,0,1
607.cactuBSSN_s-2421B,pythia_MTPS4800,1.13024,12269,340,2925,0,1
607.cactuBSSN_s-2421B,nopref_MTPS9600,1.00754,13048,10123,2925,0,1
607.cactuBSSN_s-2421B,spp_MTPS9600,1.09865,13052,1467,2925,0,1
607.cactuBSSN_s-2421B,bingo_MTPS9600,1.02876,13061,8652,2925,0,1
607.cactuBSSN_s-2421B,mlop_MTPS9600,1.13599,13078,214,2925,0,1
607.cactuBSSN_s-2421B,pythia_MTPS9600,1.13037,12257,333,2925,0,1
619.lbm_s-2677B,nopref,0.36355,358976,57719,174361,126896,1
619.lbm_s-2677B,spp,0.41995,359527,7876,174441,127356,1
619.lbm_s-2677B,bingo,0.43826,358914,2662,174352,126833,1
619.lbm_s-2677B,mlop,0.43165,359064,2867,174380,126954,1
619.lbm_s-2677B,pythia,0.42332,358984,4164,174346,126907,1
619.lbm_s-2677B,nopref_MTPS150,0.05752,358908,57719,174356,126833,1
619.lbm_s-2677B,spp_MTPS150,0.05706,359208,7328,174386,127095,1
619.lbm_s-2677B,bingo_MTPS150,0.05809,358807,1812,174311,126767,1
619.lbm_s-2677B,mlop_MTPS150,0.05764,359048,2736,174372,126948,1
619.lbm_s-2677B,pythia_MTPS150,0.05764,358840,3877,174349,126761,1
619.lbm_s-2677B,nopref_MTPS300,0.10998,358911,57719,174361,126831,1
619.lbm_s-2677B,spp_MTPS300,0.10896,359292,7302,174398,127166,1
619.lbm_s-2677B,bingo_MTPS300,0.11095,358819,1836,174320,126770,1
619.lbm_s-2677B,mlop_MTPS300,0.10991,358942,2737,174355,126852,1
619.lbm_s-2677B,pythia_MTPS300,0.11015,358941,3876,174352,126863,1
619.lbm_s-2677B,nopref_MTPS600,0.19179,358923,57719,174345,126859,1
619.lbm_s-2677B,spp_MTPS600,0.1901,359140,7945,174366,127049,1
619.lbm_s-2677B,bingo_MTPS600,0.19411,358931,2203,174339,126863,1
619.lbm_s-2677B,mlop_MTPS600,0.19164,359056,2753,174348,126976,1
619.lbm_s-2677B,pythia_MTPS600,0.19236,358916,3911,174344,126847,1
619.lbm_s-2677B,nopref_MTPS1200,0.29145,358921,57719,174357,126845,1
619.lbm_s-2677B,spp_MTPS1200,0.30643,359283,8604,174407,127150,1
619.lbm_s-2677B,bingo_MTPS1200,0.3165,358915,2546,174343,126843,1
619.lbm_s-2677B,mlop_MTPS1200,0.31145,359032,2826,174363,126936,1
619.lbm_s-2677B,pythia_MTPS1200,0.31051,358973,4005,174345,126897,1
619.lbm_s-2677B,nopref_MTPS4800,0.40069,358974,57719,174352,126903,1
619.lbm_s-2677B,spp_MTPS4800,0.4775,359359,8472,174424,127206,1
619.lbm_s-2677B,bingo_MTPS4800,0.5013,359078,3345,174372,126977,1
619.lbm_s-2677B,mlop_MTPS4800,0.4966,359051,3014,174352,126972,1
619.lbm_s-2677B,pythia_MTPS4800,0.47876,358941,4613,174336,126876,1
619.lbm_s-2677B,nopref_MTPS9600,0.41039,358979,57719,174367,126893,1
619.lbm_s-2677B,spp_MTPS9600,0.49145,359399,8544,174414,127255,1
619.lbm_s-2677B,bingo_MTPS9600,0.51783,358957,3392,174345,126883,1
619.lbm_s-2677B,mlop_MTPS9600,0.51191,359136,3021,174379,127030,1
619.lbm_s-2677B,pythia_MTPS9600,0.49356,358943,4897,174343,126870,1
619.lbm_s-3766B,nopref,0.70356,159050,26728,80407,51915,1
619.lbm_s-3766B,spp,0.92048,159328,2454,80417,52186,1
619.lbm_s-3766B,bingo,1.02069,159041,1188,80420,51901,1
619.lbm_s-3766B,mlop,0.9651,159106,1252,80400,51988,1
619.lbm_s-3766B,pythia,0.98594,158988,1695,80398,51865,1
619.lbm_s-3766B,nopref_MTPS150,0.13447,159036,26728,80407,51901,1
619.lbm_s-3766B,spp_MTPS150,0.12796,159246,2611,80404,52116,1
619.lbm_s-3766B,bingo_MTPS150,0.1354,159108,835,80411,51977,1
619.lbm_s-3766B,mlop_MTPS150,0.13093,159171,1252,80408,52046,1
619.lbm_s-3766B,pythia_MTPS150,0.13529,159073,1640,80412,51936,1
619.lbm_s-3766B,nopref_MTPS300,0.25634,159047,26728,80409,51910,1
619.lbm_s-3766B,spp_MTPS300,0.24488,159265,2594,80408,52132,1
619.lbm_s-3766B,bingo_MTPS300,0.25966,159099,842,80411,51968,1
619.lbm_s-3766B,mlop_MTPS300,0.25037,159243,1252,80406,52120,1
619.lbm_s-3766B,pythia_MTPS300,0.25967,159094,1639,80406,51963,1
619.lbm_s-3766B,nopref_MTPS600,0.44471,159048,26728,80407,51913,1
619.lbm_s-3766B,spp_MTPS600,0.42944,159163,2610,80382,52056,1
619.lbm_s-3766B,bingo_MTPS600,0.45942,159086,955,80415,51951,1
619.lbm_s-3766B,mlop_MTPS600,0.43793,159168,1252,80403,52048,1
619.lbm_s-3766B,pythia_MTPS600,0.4586,159071,1655,80402,51944,1
619.lbm_s-3766B,nopref_MTPS1200,0.61819,159044,26728,80407,51909,1
619.lbm_s-3766B,spp_MTPS1200,0.68984,159230,2453,80404,52102,1
619.lbm_s-3766B,bingo_MTPS1200,0.75074,159076,1138,80421,51935,1
619.lbm_s-3766B,mlop_MTPS1200,0.71049,159190,1252,80412,52060,1
619.lbm_s-3766B,pythia_MTPS1200,0.74266,159077,1692,80411,51941,1
619.lbm_s-3766B,nopref_MTPS4800,0.75097,159048,26728,80407,51913,1
619.lbm_s-3766B,spp_MTPS4800,1.02994,159280,2502,80413,52140,1
619.lbm_s-3766B,bingo_MTPS4800,1.14678,159081,1273,80408,51953,1
619.lbm_s-3766B,mlop_MTPS4800,1.09199,159189,1252,80409,52063,1
619.lbm_s-3766B,pythia_MTPS4800,1.09303,158980,1723,80402,51852,1
619.lbm_s-3766B,nopref_MTPS9600,0.76235,159047,26728,80407,51912,1
619.lbm_s-3766B,spp_MTPS9600,1.05262,159279,2462,80408,52145,1
619.lbm_s-3766B,bingo_MTPS9600,1.17512,159001,1260,80400,51881,1
619.lbm_s-3766B,mlop_MTPS9600,1.12614,159155,1252,80416,52022,1
619.lbm_s-3766B,pythia_MTPS9600,1.12032,158909,1720,80392,51792,1
619.lbm_s-4268B,nopref,0.3743,348408,56245,169707,122456,1
619.lbm_s-4268B,spp,0.43122,348808,7680,169695,122852,1
619.lbm_s-4268B,bingo,0.45384,348289,2596,169669,122368,1
619.lbm_s-4268B,mlop,0.4465,348482,2788,169685,122546,1
619.lbm_s-4268B,pythia,0.43787,348082,4067,169626,122206,1
619.lbm_s-4268B,nopref_MTPS150,0.05928,348335,56245,169686,122404,1
619.lbm_s-4268B,spp_MTPS150,0.05864,348898,6978,169719,122908,1
619.lbm_s-4268B,bingo_MTPS150,0.0598,348149,1758,169623,122274,1
619.lbm_s-4268B,mlop_MTPS150,0.05928,348288,2657,169666,122371,1
619.lbm_s-4268B,pythia_MTPS150,0.05941,348166,3768,169636,122276,1
619.lbm_s-4268B,nopref_MTPS300,0.11337,348400,56245,169702,122453,1
619.lbm_s-4268B,spp_MTPS300,0.11194,348893,7233,169721,122898,1
619.lbm_s-4268B,bingo_MTPS300,0.11419,348305,1782,169665,122388,1
619.lbm_s-4268B,mlop_MTPS300,0.11313,348466,2658,169666,122549,1
619.lbm_s-4268B,pythia_MTPS300,0.11352,348046,3790,169647,122147,1
619.lbm_s-4268B,nopref_MTPS600,0.19817,348369,56245,169705,122419,1
619.lbm_s-4268B,spp_MTPS600,0.19513,349012,7629,169729,123024,1
619.lbm_s-4268B,bingo_MTPS600,0.19989,348278,2145,169661,122365,1
619.lbm_s-4268B,mlop_MTPS600,0.19722,348371,2679,169646,122473,1
619.lbm_s-4268B,pythia_MTPS600,0.19829,347922,3829,169644,122026,1
619.lbm_s-4268B,nopref_MTPS1200,0.30044,348423,56245,169711,122467,1
619.lbm_s-4268B,spp_MTPS1200,0.31437,348880,8385,169699,122927,1
619.lbm_s-4268B,bingo_MTPS1200,0.32619,348247,2467,169651,122344,1
619.lbm_s-4268B,mlop_MTPS1200,0.32066,348444,2740,169679,122514,1
619.lbm_s-4268B,pythia_MTPS1200,0.31994,348019,3912,169662,122104,1
619.lbm_s-4268B,nopref_MTPS4800,0.41289,348414,56245,169702,122467,1
619.lbm_s-4268B,spp_MTPS4800,0.49164,348950,8331,169700,122993,1
619.lbm_s-4268B,bingo_MTPS4800,0.52006,348303,3213,169655,122396,1
619.lbm_s-4268B,mlop_MTPS4800,0.51348,348420,2932,169670,122498,1
619.lbm_s-4268B,pythia_MTPS4800,0.49741,348134,4510,169650,122232,1
619.lbm_s-4268B,nopref_MTPS9600,0.42248,348454,56245,169709,122500,1
619.lbm_s-4268B,spp_MTPS9600,0.50411,348928,8500,169693,122969,1
619.lbm_s-4268B,bingo_MTPS9600,0.53708,348195,3325,169652,122291,1
619.lbm_s-4268B,mlop_MTPS9600,0.53121,348380,2978,169680,122447,1
619.lbm_s-4268B,pythia_MTPS9600,0.51156,348197,4839,169675,122268,1
620.omnetpp_s-141B,nopref,0.23119,58579,46641,6455,5483,1
620.omnetpp_s-141B,spp,0.23192,63535,44431,6411,5339,1
620.omnetpp_s-141B,bingo,0.24231,129340,27356,5437,6282,1
620.omnetpp_s-141B,mlop,0.23668,95222,37144,5274,7026,1
620.omnetpp_s-141B,pythia,0.23779,88864,35922,5404,7768,1
620.omnetpp_s-141B,nopref_MTPS150,0.20339,58572,46622,6467,5483,1
620.omnetpp_s-141B,spp_MTPS150,0.19979,63640,44798,6460,5500,1
620.omnetpp_s-141B,bingo_MTPS150,0.13829,129288,28987,5612,6399,1
620.omnetpp_s-141B,mlop_MTPS150,0.17188,96332,39197,5448,7208,1
620.omnetpp_s-141B,pythia_MTPS150,0.18295,90814,36150,5564,7994,1
620.omnetpp_s-141B,nopref_MTPS300,0.22389,58565,46640,6453,5472,1
620.omnetpp_s-141B,spp_MTPS300,0.22388,63501,44603,6432,5319,1
620.omnetpp_s-141B,bingo_MTPS300,0.19623,129225,28414,5489,6334,1
620.omnetpp_s-141B,mlop_MTPS300,0.21887,95154,38205,5328,7050,1
620.omnetpp_s-141B,pythia_MTPS300,0.22352,90513,36083,5569,7738,1
620.omnetpp_s-141B,nopref_MTPS600,0.22919,58579,46642,6454,5483,1
620.omnetpp_s-141B,spp_MTPS600,0.22985,63551,44438,6424,5325,1
620.omnetpp_s-141B,bingo_MTPS600,0.22711,129242,27967,5444,6353,1
620.omnetpp_s-141B,mlop_MTPS600,0.23307,95205,37362,5291,6995,1
620.omnetpp_s-141B,pythia_MTPS600,0.23468,90069,36064,5573,7824,1
620.omnetpp_s-141B,nopref_MTPS1200,0.23072,58579,46642,6454,5483,1
620.omnetpp_s-141B,spp_MTPS1200,0.23145,63535,44432,6411,5339,1
620.omnetpp_s-141B,bingo_MTPS1200,0.23911,129476,27649,5425,6340,1
620.omnetpp_s-141B,mlop_MTPS1200,0.23604,95555,37128,5266,6909,1
620.omnetpp_s-141B,pythia_MTPS1200,0.23716,89005,36029,5443,7762,1
620.omnetpp_s-141B,nopref_MTPS4800,0.23142,58579,46641,6455,5483,1
620.omnetpp_s-141B,spp_MTPS4800,0.23215,63533,44431,6411,5339,1
620.omnetpp_s-141B,bingo_MTPS4800,0.24297,129352,27181,5462,6230,1
620.omnetpp_s-141B,mlop_MTPS4800,0.23694,95225,37143,5270,7028,1
620.omnetpp_s-141B,pythia_MTPS4800,0.23818,89005,35901,5374,7940,1
620.omnetpp_s-141B,nopref_MTPS9600,0.23148,58570,46702,6394,5474,1
620.omnetpp_s-141B,spp_MTPS9600,0.23223,63561,44492,6344,5333,1
620.omnetpp_s-141B,bingo_MTPS9600,0.24308,129566,27269,5367,6227,1
